cve_ent,entidad,cve_alc,alc,cve_col,colonia,clasif,SISTEMA,NOMBRE,LINEA,EST,CVE_EOD17,TIPO,ALCALDIAS,AÑO,CVE_EST
09,Ciudad de México,015,Cuauhtémoc,015-005,Buenavista,Colonia,Metrobús,Revolución,01,11,11040,Intermedia,Cuauhtémoc,2005,MB0111
09,Ciudad de México,015,Cuauhtémoc,015-030,Tabacalera,Colonia,Metrobús,Plaza de la República,01,12,11036,Transbordo,Cuauhtémoc,2005,MB0112
09,Ciudad de México,015,Cuauhtémoc,015-026,San Rafael,Colonia,Metrobús,Reforma,01,13,11039,Transbordo,Cuauhtémoc,2005,MB0113
09,Ciudad de México,015,Cuauhtémoc,015-017,Juarez,Colonia,Metrobús,Hamburgo,01,14,11023,Transbordo,Cuauhtémoc,2005,MB0114
09,Ciudad de México,015,Cuauhtémoc,015-017,Juarez,Colonia,Metrobús,Insurgentes,01,15,11022,Terminal,Cuauhtémoc,2005,MB0115
09,Ciudad de México,015,Cuauhtémoc,015-024,Roma Norte,Colonia,Metrobús,Durango,01,16,11015,Intermedia,Cuauhtémoc,2005,MB0116
09,Ciudad de México,015,Cuauhtémoc,015-024,Roma Norte,Colonia,Metrobús,Álvaro Obregón,01,17,11002,Intermedia,Cuauhtémoc,2005,MB0117
09,Ciudad de México,015,Cuauhtémoc,015-024,Roma Norte,Colonia,Metrobús,Sonora,01,18,11044,Intermedia,Cuauhtémoc,2005,MB0118
09,Ciudad de México,015,Cuauhtémoc,015-025,Roma Sur,Colonia,Metrobús,Campeche,01,19,11005,Intermedia,Cuauhtémoc,2005,MB0119
09,Ciudad de México,015,Cuauhtémoc,015-025,Roma Sur,Colonia,Metrobús,Chilpancingo,01,20,11007,Intermedia,Cuauhtémoc,2005,MB0120
09,Ciudad de México,015,Cuauhtémoc,015-025,Roma Sur,Colonia,Metrobús,Nuevo León,01,21,11032,Transbordo,Cuauhtémoc,2005,MB0121
09,Ciudad de México,014,Benito Juárez,014-014,Del Valle Norte,Colonia,Metrobús,La Piedad,01,22,11028,Transbordo,Benito Juárez,2005,MB0122
09,Ciudad de México,014,Benito Juárez,014-014,Del Valle Norte,Colonia,Metrobús,Polifórum,01,23,11037,Transbordo,Benito Juárez,2005,MB0123
09,Ciudad de México,014,Benito Juárez,014-007,Ampliacion Napoles,Colonia,Metrobús,Nápoles,01,24,11031,Transbordo,Benito Juárez,2005,MB0124
09,Ciudad de México,014,Benito Juárez,014-021,Insurgentes San Borja,Colonia,Metrobús,Colonia del Valle,01,25,11011,Transbordo,Benito Juárez,2005,MB0125
09,Ciudad de México,014,Benito Juárez,014-021,Insurgentes San Borja,Colonia,Metrobús,Cd. de los Deportes,01,26,11009,Intermedia,Benito Juárez,2005,MB0126
09,Ciudad de México,014,Benito Juárez,014-049,Tlacoquemecatl,Colonia,Metrobús,Parque Hundido,01,27,11034,Intermedia,Benito Juárez,2005,MB0127
09,Ciudad de México,014,Benito Juárez,014-049,Tlacoquemecatl,Colonia,Metrobús,Félix Cuevas,01,28,11019,Intermedia,Benito Juárez,2005,MB0128
09,Ciudad de México,014,Benito Juárez,014-003,Actipan,Colonia,Metrobús,Río Churubusco,01,29,11041,Intermedia,Benito Juárez,2005,MB0129
09,Ciudad de México,014,Benito Juárez,014-010,Credito Constructor,Colonia,Metrobús,Teatro de los Insurgentes,01,30,11045,Intermedia,Benito Juárez,2005,MB0130
